Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
dyscognitive_age_last,clinical,,text,Age at last occurrence (dyscognitive),,if available,integer,0,100,,[dyscognitive_seizures]=1,,,,,,
bilateral_age_last,clinical,,text,Age at last occurrence (bilateral),,if available,integer,0,100,,[bilateral_seizures]=1,,,,,,
other_age_last,clinical,,text,Age at last occurrence (other),,if available,integer,0,100,,[other_seizures]=1,,,,,,
neurological_examination,clinical,Neurological examination,dropdown,Neurological examination,"1, Normal |2, Abnormal please specify |3, Not done",,,,,,,,,,,,
neurological_specify,clinical,,text,Neurological examination comments,,,,,,,[neurological_examination]=2,,,,,,
eeg_findings_1,clinical,Investigations,dropdown,EEG findings,"1, Normal | 2, Epileptiform | 4, Focal slowing | 5, Generalized slowing | 9, Photo-paroxysmal response| 6, Other | 7, Unknown | 8, Not done",,,,,,,,,,,,
eeg_findings_1_type,clinical,,dropdown,Epileptiform type,"1, Generalized |2,Focal|3, Unknown| 4, Unclassified",,,,,,[eeg_findings_1]=2,,,,,,
eeg_findings_1_focal,clinical,,checkbox,Location of  focal epileptiform,"1,Frontal|2,Frontotemporal|3,Temporal|4,Occipital|5,Temporoccipital|6,Parietal|7,Unspecified",,,,,,[eeg_findings_1_type]=2,,,,,,
type_of_ppr_1,clinical,,dropdown,Type of photoparoxysmal response,"1, Generalized | 2, Occipital | 3, Other focal | 4, Non-epileptiform | 998, Unknown",,,,,,[eeg_findings_1] = '9',,,,,,
eeg_findings_2,clinical,,dropdown,EEG abnormality 1,"2, Epileptiform | 4, Focal slowing | 5, Generalized slowing | 9, Photo-paroxysmal response | 6, Other",,,,,,[eeg_findings_1] >1,,,,,,
eeg_findings_2_type,clinical,,dropdown,Epileptiform type,"1, Generalized | 2, Focal | 3, Unknown | 4, Unclassified",,,,,,[eeg_findings_2]=2,,,,,,
eeg_findings_2_focal,clinical,,checkbox,Location of  focal epileptiform,"1,Frontal|2,Frontotemporal|3,Temporal|4,Occipital|5,Temporoccipital|6,Parietal|7,Unspecified",,,,,,[eeg_findings_2_type]=2,,,,,,
type_of_ppr_2,clinical,,dropdown,Type of photoparoxysmal response,"1, Generalized | 2, Occipital | 3, Other focal | 4, Non-epileptiform | 998, Unknown",,,,,,[eeg_findings_2] = '9',,,,,,
eeg_findings_3,clinical,,dropdown,EEG abnormality 2,"2, Epileptiform | 4, Focal slowing | 5, Generalized slowing | 9, Photo-paroxysmal response| 6, Other",,,,,,[eeg_findings_2] > 1,,,,,,
eeg_findings_3_type,clinical,,dropdown,Epileptiform type,"1, Generalized |2,Focal|3, Unknown| 4, Unclassified",,,,,,[eeg_findings_3]=2,,,,,,
eeg_findings_3_focal,clinical,,checkbox,Location of  focal epileptiform,"1,Frontal|2,Frontotemporal|3,Temporal|4,Occipital|5,Temporoccipital|6,Parietal|7,Unspecified",,,,,,[eeg_findings_3_type]=2,,,,,,
type_of_ppr_3,clinical,,dropdown,Type of photoparoxysmal response,"1, Generalized | 2, Occipital | 3, Other focal | 4, Non-epileptiform | 998, Unknown",,,,,,[eeg_findings_3] = '9',,,,,,
neuroimaging_performed,clinical,Neuroimaging,radio,Neuroimaging performed,"1, CT | 2, MRI | 997, Not done | 3, CT and MRI",,,,,,,,,,,,
neuroimaging_findings,clinical,,dropdown,Neuroimaging findings,"1, Normal | 2, Nonspecific abnormality, please specify | 3, Hippocampal sclerosis | 993, Other, please specify | 998, Unknown",,,,,,[neuroimaging_performed]<997,,,,,,
neuroimaging_specify,clinical,,notes,Neuroimaging specify,,,,,,,[neuroimaging_findings]>1,,,,,,
intellectual_disability,clinical,Comorbidities,radio,Intellectual Disability,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,comorbidities,,
learning_disability,clinical,,radio,Learning disability,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,comorbidities,,
autism,clinical,,radio,Autism spectrum disorder,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,comorbidities,,
psychosis,clinical,,radio,Psychosis,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,comorbidities,,
pharmacoresistant,clinical,,radio,Drug resistant,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,comorbidities,,
comorbidities,clinical,,notes,Comorbidities,,,,,,,,,,,,,
family_history,clinical,Family History,dropdown,Family History,"1, Yes | 2, No | 3, Unknown","Family history of any seizures (including febrile) regardless of reported aetiology. Family history refers to any biological relative of the proband, including their offspring.",,,,,,,,,,,
fam_first_deg,clinical,,dropdown,First degree relative affected,"1, Yes | 2, No | 3, Unknown","First-degree relative is defined as the proband's biological mother, father, brother, sister, son or daughter. The relative is regarded as 'affected' if they have any history of seizures (including febrile) regardless of reported aetiology.",,,,,[family_history]=1,,,,,,
fam_consanguinity,clinical,,dropdown,Family history of consanguinity,"1, Yes | 2, No | 3, Unknown",,,,,,[family_history]=1,,,,,,
fam_notes,clinical,,notes,Details of family history of epilepsy,,"Additional information about family history, other than that captured in the 'First degree relative affected?' section.",,,,,[family_history]=1,,,,,,
syndrome,clinical,Epilepsy Syndrome,radio,Focal syndromes,"209, ""Benign"" Childhood Epilepsies: Atypical Childhood Epilepsy with Centrotemporal Spikes | 210, ""Benign"" Childhood Epilepsies: Epilepsy Aphasia Syndromes | 211, ""Benign"" Childhood Epilepsies: Benign Occipital Epilepsy (Panayiotopoulos) | 212, ""Benign"" Childhood Epilepsies: Benign Occipital Epilepsy (Gastaut) | 213, ""Benign"" Childhood Epilepsies: Idiopathic photosensitive occipital lobe epilepsy | 14, Other Non-lesional Focal Epilepsies: Frontal | 15, Other Non-lesional Focal Epilepsies: Frontotemporal | 16, Other Non-lesional Focal Epilepsies: Temporal | 17, Other Non-lesional Focal Epilepsies: Occipital | 18, Other Non-lesional Focal Epilepsies: Temporoccipital | 19, Other Non-lesional Focal Epilepsies: Parietal | 20, Other Non-lesional Focal Epilepsies: Multifocal | 21, Other Non-lesional Focal Epilepsies: Unspecified",,,,,,,,,,,,
loc_evidence,clinical,,dropdown,Evidence for localization,"1,Seizure semiology only|2,Seizure semiology and EEG|3,Seizure semiology, EEG and imaging|4,Not localized (focal unspecified)|5,Data not available",,,,,,,,,,,,
syndrome_notes,clinical,,notes,Epilepsy Syndrome Comments,,,,,,,,,,,,,
