"ï»¿""Variable / Field Name""",Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
genetic_testing,clinical,,dropdown,Genetic testing,"1, Normal|2, Abnormal, please specify|3, Unknown |4, Finding of unknown significance, please specify| 5, Not done",,,,,,,,,,,,
genetic_testing_comment,clinical,,notes,Genetic testing comments,,,,,,,[genetic_testing]=2 or [genetic_testing]=4,,,,,,
metabolic_testing,clinical,,dropdown,Metabolic testing,"1, Normal|2, Abnormal, please specify|3, Unknown|4, Finding of unknown significance, please specify |5, Not done",,,,,,,,,,,,
metabolic_testing_comment,clinical,,notes,Metabolic testing comments,,,,,,,[metabolic_testing]=2 or [metabolic_testing]=4,,,,,,
age_first_seizure,clinical,Seizure Types,text,Age at first seizure,,of any type,integer,0,100,,,,,,,,
febrile_seizures,clinical,,radio,Febrile ,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
spasms_seizures,clinical,,radio,Infantile/epileptic spasms,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
tonic_seizures,clinical,,radio,Tonic,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
atonic_seizures,clinical,,radio,Atonic,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
myoclonic_seizures,clinical,,radio,Myoclonic,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
absence_seizures,clinical,,radio,Absence,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
atypical_absence_seizures,clinical,,radio,Atypical Absence,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
generalized_seizures,clinical,,radio,Generalized tonic-clonic,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
hemiclonic_seizures,clinical,,radio,Hemiclonic ,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
bilateral_clonic_seizures,clinical,,radio,Bilateral clonic,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
focal_seizures,clinical,,radio,Focal,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
unclassified_seizures,clinical,,radio,Unclassified,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
se_con_seizures,clinical,,radio,Status Epilepticus: convulsive,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
se_non_seizures,clinical,,radio,Status Epilepticus: Non-convulsive,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
other_seizures,clinical,,radio,"Other seizure types, please specify","1, Yes | 2, No | 3, Unknown",,,,,,,,,,seizuretypes,,
other_seizures_specify,clinical,,text,Other seizure types comments,,,,,,,[other_seizures]=1,,,,,,
febclassic_seizures,clinical,Febrile seizures,dropdown,Classical febrile seizures,"1, Yes | 2, No | 3, Unknown",,,,,,[febrile_seizures]=1,,,,,,
febclassic_age_last,clinical,,text,Age at last occurrence (classic febrile),,if available,integer,0,100,,[febclassic_seizures]=1,,,,,,Classic febrile seizures
febclassic_age_onset,clinical,,text,Age at first occurrence (classic febrile),,if available,integer,0,100,,[febclassic_seizures]=1,,,,,,Classical febrile seizures
febprov_seizures,clinical,,dropdown,Other seizures provoked by fever,"1, Yes | 2, No | 3, Unknown",,,,,,[febrile_seizures]=1,,,,,,
febprov_age_onset,clinical,,text,Age at first occurrence of fever provoked seizures,,if available,integer,0,100,,[febprov_seizures]=1,,,,,,
febprov_age_last,clinical,,text,Age at last occurrence of fever provoked seizures,,if available,integer,0,100,,[febprov_seizures]=1,,,,,,
absence_age_onset,clinical,Age at first occurrence,text,Age at first occurrence (Absence),,,integer,0,100,,[absence_seizures]=1,,,,,,
atonic_age_onset,clinical,,text,Age at first occurrence (Atonic),,,integer,0,100,,[atonic_seizures]=1,,,,,,
atypical_absence_age_onset,clinical,,text,Age at first occurrence (Atypical Absence),,,integer,0,100,,[atypical_absence_seizures]=1,,,,,,
bilateral_clonic_age_onset,clinical,,text,Age at first occurrence (Bilateral clonic),,,integer,0,100,,[bilateral_clonic_seizures]=1,,,,,,
focal_age_onset,clinical,,text,Age at first occurrence (Focal),,,integer,0,100,,[focal_seizures]=1,,,,,,
generalized_age_onset,clinical,,text,Age at first occurrence (Generalized tonic-clonic),,,integer,0,100,,[generalized_seizures]=1,,,,,,
hemiclonic_age_onset,clinical,,text,Age at first occurrence (Hemiclonic),,,integer,0,100,,[hemiclonic_seizures]=1,,,,,,
spasms_age_onset,clinical,,text,Age at first occurrence (Infantile/epileptic spasms),,,integer,0,100,,[spasms_seizures]=1,,,,,,
myoclonic_age_onset,clinical,,text,Age at first occurrence (Myoclonic),,,integer,0,100,,[myoclonic_seizures]=1,,,,,,
other_age_onset,clinical,,text,Age at first occurrence (Other),,,integer,0,100,,[other_seizures]=1,,,,,,
se_con_age_onset,clinical,,text,Age at first occurrence (Status Epilepticus: convulsive),,,integer,0,100,,[se_con_seizures]=1,,,,,,
se_non_age_onset,clinical,,text,Age at first occurrence (Status Epilepticus: Non-convulsive),,,integer,0,100,,[se_non_seizures]=1,,,,,,
tonic_age_onset,clinical,,text,Age at first occurrence (Tonic),,,integer,0,100,,[tonic_seizures]=1,,,,,,
unclassified_age_onset,clinical,,text,Age at first occurrence (Unclassified),,,integer,0,100,,[unclassified_seizures]=1,,,,,,
absence_age_last,clinical,Age at last occurrence,text,Age at last occurrence (Absence),,,integer,0,100,,[absence_seizures]=1,,,,,,
atonic_age_last,clinical,,text,Age at last occurrence (Atonic),,,integer,0,100,,[atonic_seizures]=1,,,,,,
atypical_absence_age_last,clinical,,text,Age at last occurrence (Atypical Absence),,,integer,0,100,,[atypical_absence_seizures]=1,,,,,,
bilateral_clonic_age_last,clinical,,text,Age at last occurrence (Bilateral clonic),,,integer,0,100,,[bilateral_clonic_seizures]=1,,,,,,
focal_age_last,clinical,,text,Age at last occurrence (Focal),,,integer,0,100,,[focal_seizures]=1,,,,,,
generalized_age_last,clinical,,text,Age at last occurrence (Generalized tonic-clonic),,,integer,0,100,,[generalized_seizures]=1,,,,,,
hemiclonic_age_last,clinical,,text,Age at last occurrence (Hemiclonic),,,integer,0,100,,[hemiclonic_seizures]=1,,,,,,
spasms_age_last,clinical,,text,Age at last occurrence (Infantile/epileptic spasms),,,integer,0,100,,[spasms_seizures]=1,,,,,,
myoclonic_age_last,clinical,,text,Age at last occurrence (Myoclonic),,,integer,0,100,,[myoclonic_seizures]=1,,,,,,
other_age_last,clinical,,text,Age at last occurrence (Other),,,integer,0,100,,[other_seizures]=1,,,,,,
se_con_age_last,clinical,,text,Age at last occurrence (Status Epilepticus: convulsive),,,integer,0,100,,[se_con_seizures]=1,,,,,,
se_non_age_last,clinical,,text,Age at last occurrence (Status Epilepticus: Non-convulsive),,,integer,0,100,,[se_non_seizures]=1,,,,,,
tonic_age_last,clinical,,text,Age at last occurrence (Tonic),,,integer,0,100,,[tonic_seizures]=1,,,,,,
unclassified_age_last,clinical,,text,Age at last occurrence (Unclassified),,,integer,0,100,,[unclassified_seizures]=1,,,,,,
neurological_examination,clinical,Neurological examination,dropdown,Neurological examination,"1, Normal |2, Abnormal please specify |3, Not done",,,,,,,,,,,,
neurological_specify,clinical,,text,Neurological examination comments,,,,,,,[neurological_examination]=2,,,,,,
eeg_findings_1,clinical,Investigations,dropdown,EEG findings,"1,Normal |2,Epileptiform |3,Photo-paroxysmal response|4,Focal slowing |5,Generalized slowing |6,Other |7,Unknown |8,Not done",,,,,,,,,,,,
eeg_findings_1_type,clinical,,dropdown,"If epileptiform, type?","2, Burst Suppression|3, Classic hypsarrhythmia|4, Hypsarrhythmia variant|5, Generalized spike-wave, specify frequency|6, Generalized paroxysmal fast activity (GPFA)|7, Slow or disorganised for age|8, Focal or multi-focal sharp waves, specify location|9, Normal|10, Other, please specify|11, Unknown",,,,,,[eeg_findings_1]=2,,,,,,
eeg_findings_1_gsw,clinical,,dropdown,GSW frequency,"1, â‰¥ 3Hz | 2, < 3Hz | 3, Unknown",,,,,,[eeg_findings_1_type]=5,,,,,,
eeg_findings_1_focal,clinical,,checkbox,Location of focal epileptiform,"1, NA|2, Temporal|3, Frontal|4, Occipital|5, Parietal|6, Multi-focal|7, Unspecified|8, Unknown",,,,,,[eeg_findings_1_type]=8,,,,,,
type_of_ppr_1,clinical,,dropdown,Type of photoparoxysmal response,"1, Generalized | 2, Occipital | 3, Other focal | 4, Non-epileptiform | 998, Unknown",,,,,,[eeg_findings_1] = '9',,,,,,
eeg_findings_2,clinical,,dropdown,Additional EEG abnormality 1,"2,Epileptiform |3,Photo-paroxysmal response|4, Focal slowing |5, Generalized slowing |6,_Other",,,,,,[eeg_findings_1] = '2' or [eeg_findings_1] = '3' or [eeg_findings_1] = '4' or [eeg_findings_1] = '5' or [eeg_findings_1] = '6',,,,,,
eeg_findings_2_type,clinical,,dropdown,"If epileptiform, type?","2, Burst Suppression|3, Classic hypsarrhythmia|4, Hypsarrhythmia variant|5, Generalized spike-wave, specify frequency|6, Generalized paroxysmal fast activity (GPFA)|7, Slow or disorganised for age|8, Focal or multi-focal sharp waves, specify location|9, Normal|10, Other, please specify|11, Unknown",,,,,,[eeg_findings_2]=2,,,,,,
eeg_findings_2_gsw,clinical,,dropdown,GSW frequency,"1, â‰¥3Hz | 2, < 3Hz | 3, Unknown",,,,,,[eeg_findings_2_type]=5,,,,,,
eeg_findings_2_focal,clinical,,checkbox,Location of focal epileptiform,"1, NA|2, Temporal|3, Frontal|4, Occipital|5, Parietal|6, Multi-focal|7, Unspecified|8, Unknown",,,,,,[eeg_findings_2_type]=8,,,,,,
type_of_ppr_2,clinical,,dropdown,Type of photoparoxysmal response,"1, Generalized | 2, Occipital | 3, Other focal | 4, Non-epileptiform | 998, Unknown",,,,,,[eeg_findings_2] = '9',,,,,,
eeg_findings_3,clinical,,dropdown,Additional EEG abnormality 2,"2,Epileptiform |3,Photo-paroxysmal response|4, Focal slowing |5, Generalized slowing |6,_Other",,,,,,[eeg_findings_2] = '2' or [eeg_findings_2] = '3' or [eeg_findings_2] = '4' or [eeg_findings_2] = '5' or [eeg_findings_2] = '6',,,,,,
eeg_findings_3_type,clinical,,dropdown,"If epileptiform, type?","2, Burst Suppression|3, Classic hypsarrhythmia|4, Hypsarrhythmia variant|5, Generalized spike-wave, specify frequency|6, Generalized paroxysmal fast activity (GPFA)|7, Slow or disorganised for age|8, Focal or multi-focal sharp waves, specify location|9, Normal|10, Other, please specify|11, Unknown",,,,,,[eeg_findings_3]=2,,,,,,
eeg_findings_3_gsw,clinical,,dropdown,GSW frequency,"1, â‰¥ 3Hz | 2, < 3Hz | 3, Unknown",,,,,,[eeg_findings_3_type]=5,,,,,,
eeg_findings_3_focal,clinical,,checkbox,Location of focal epileptiform,"1, NA|2, Temporal|3, Frontal|4, Occipital|5, Parietal|6, Multi-focal|7, Unspecified|8, Unknown",,,,,,[eeg_findings_3_type]=8,,,,,,
type_of_ppr_3,clinical,,dropdown,Type of photoparoxysmal response,"1, Generalized | 2, Occipital | 3, Other focal | 4, Non-epileptiform | 998, Unknown",,,,,,[eeg_findings_3] = '9',,,,,,
neuroimaging_performed,clinical,Neuroimaging,radio,Neuroimaging performed,"1, CT | 2, MRI | 997, Not done | 3, CT and MRI",,,,,,,,,,,,
neuroimaging_findings_1,clinical,,dropdown,Neuroimaging findings,"1, Normal|2, Malformations: Focal Cortical Dysplasia|3, Malformations: Heterotopia|4, Malformations: Peri-ventricular nodular heterotopia|5, Malformations: Polymicrogyria|6, Malformations: Pachygyria|7, Malformations: Hemimegalencephaly|8, Malformations: Schizencephaly|9, Malformations: Lissencephaly|10, Malformations: Double Cortex|11, Malformations: Holoprosencephaly|12, Malformations: Corpus callosum agenesis/dysplasia|13, Malformations: Septo-optic dysplasia|14, Malformations: other|15, Vascular and/or ischemic abnormalities: hypoxic ischemic injury|16, Vascular and/or ischemic abnormalities: Periventricular leukomalacia|17, Vascular and/or ischemic abnormalities: hemorrhage|18, Other: Hippocampal Sclerosis|19, Other: porencephaly|20, Other: hydrocephalus|21, Other: atrophy|22, Unknown",,,,,,[neuroimaging_performed]<997,,,,,,
neuroimaging_findings_2,clinical,,dropdown,Additional Neuroimaging abnormality 1,"2, Malformations: Focal Cortical Dysplasia|3, Malformations: Heterotopia|4, Malformations: Peri-ventricular nodular heterotopia|5, Malformations: Polymicrogyria|6, Malformations: Pachygyria|7, Malformations: Hemimegalencephaly|8, Malformations: Schizencephaly|9, Malformations: Lissencephaly|10, Malformations: Double Cortex|11, Malformations: Holoprosencephaly|12, Malformations: Corpus callosum agenesis/dysplasia|13, Malformations: Septo-optic dysplasia|14, Malformations: other|15, Vascular and/or ischemic abnormalities: hypoxic ischemic injury|16, Vascular and/or ischemic abnormalities: Periventricular leukomalacia|17, Vascular and/or ischemic abnormalities: hemorrhage|18, Other: Hippocampal Sclerosis|19, Other: porencephaly|20, Other: hydrocephalus|21, Other: atrophy|22, Unknown",,,,,,[neuroimaging_findings_1]>1,,,,,,
neuroimaging_findings_3,clinical,,dropdown,Additional Neuroimaging abnormality 2,"2, Malformations: Focal Cortical Dysplasia|3, Malformations: Heterotopia|4, Malformations: Peri-ventricular nodular heterotopia|5, Malformations: Polymicrogyria|6, Malformations: Pachygyria|7, Malformations: Hemimegalencephaly|8, Malformations: Schizencephaly|9, Malformations: Lissencephaly|10, Malformations: Double Cortex|11, Malformations: Holoprosencephaly|12, Malformations: Corpus callosum agenesis/dysplasia|13, Malformations: Septo-optic dysplasia|14, Malformations: other|15, Vascular and/or ischemic abnormalities: hypoxic ischemic injury|16, Vascular and/or ischemic abnormalities: Periventricular leukomalacia|17, Vascular and/or ischemic abnormalities: hemorrhage|18, Other: Hippocampal Sclerosis|19, Other: porencephaly|20, Other: hydrocephalus|21, Other: atrophy|22, Unknown",,,,,,[neuroimaging_findings_2]>1,,,,,,
neuroimaging_specify,clinical,,notes,Neuroimaging details,,,,,,,[neuroimaging_performed]<997,,,,,,
comorbidities,clinical,,text,Comorbidities,,,,,,,,,,,,,
intellectual_disability,clinical,Comorbidities,radio,Intellectual Disability,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,comorbidities,,
learning_disability,clinical,,radio,Learning disability,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,comorbidities,,
autism,clinical,,radio,Autism spectrum disorder,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,comorbidities,,
psychosis,clinical,,radio,Psychosis,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,comorbidities,,
pharmacoresistant,clinical,,radio,Drug resistant,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,comorbidities,,
family_history,clinical,Family History,dropdown,Family History,"1, Yes | 2, No | 3, Unknown",,,,,,,,,,,,
fam_first_deg,clinical,,dropdown,first degree relative affected,"1, Yes | 2, No | 3, Unknown",,,,,,[family_history]=1,,,,,,
fam_consanguinity,clinical,,dropdown,Family history of consanguinity,"1, Yes | 2, No | 3, Unknown",,,,,,[family_history]=1,,,,,,
fam_notes,clinical,,notes,Details of any more extensive family history of epilepsy,,,,,,,[family_history]=1,,,,,,
ee_syndrome,clinical,Epilepsy Syndrome,checkbox,Syndrome,"1, Neonatal onset: Ohtahara syndrome | 3, Neonatal onset: Early myoclonic encephalopathy (EME) | 4, Early onset epileptic encephalopathy (< 3 months) | 5, Infantile onset epileptic encephalopathy (not otherwise specified) | 6, Epilepsy of infancy with migrating focal seizures | 7, West syndrome/infantile spasms | 8, Late-onset epileptic spasms | 9, Lennox-Gastaut syndrome | 10, Epilepsy with myoclonic atonic seizures | 11, Dravet syndrome | 12, Landau-Kleffner syndrome (LKS) | 13, Epileptic encephalopathy with continuous spike-and-wave during sleep (CSWS) | 14, Febrile Infection Related Epilepsy Syndrome (FIRES) | 2, Hemiconvulsion-Hemiplegia-Epilepsy | 15, Nonsyndromic epileptic encephalopathy with focal seizures | 16, Nonsyndromic epileptic encephalopathy with generalized seizures | 17, Nonsyndromic epileptic encephalopathy with mixed or unclassified seizures""",,,,,,,,,,,,
multiple_syndromes,clinical,,text,"Comments for multiple syndromes 
",,,,,,,([ee_syndrome(2)]+ [ee_syndrome(1)]  +[ee_syndrome(3)]+ [ee_syndrome(4)] + [ee_syndrome(5)]+ [ee_syndrome(6)] + [ee_syndrome(7)] + [ee_syndrome(8)]  +[ee_syndrome(9)]+ [ee_syndrome(10)] + [ee_syndrome(11)] + [ee_syndrome(12)] + [ee_syndrome(13)]+ [ee_syndrome(14)]  + [ee_syndrome(15)]+ [ee_syndrome(16)]  ) >1,,,,,,
ee_syndrome_notes,clinical,,notes,Epilepsy syndrome comments,,"In cases where an evolution has occurred, multiple syndromes should be selected and a comment made.",,,,,,,,,,,
