                                                                                                                                                                                                                                                                               ,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
movement_disorder,clinical,,dropdown,Movement disorder,"1, Yes, please specify | 2, No | 998, Unknown",,,,,,,,,,,
movement_disorder_comment,clinical,,notes,Movement disorder comments,,,,,,,[movement_disorder]=1,,,,,
other_abnormalities,clinical,,dropdown,Other abnormalities,"1, Yes, please specify | 2, No | 998, Unknown",,,,,,,,,,,
other_abnormalities_comment,clinical,,notes,Other abnormalities comments,,,,,,,[other_abnormalities]=1,,,,,
conventional_karyotype,clinical,,dropdown,Conventional karyotype,"1, Normal|2, Abnormal, please specify|998, Unknown |4, Finding of unknown significance, please specify| 5, Not done",,,,,,,,,,,
conventional_karyotype_comment,clinical,,notes,Conventional karyotype comments,,,,,,,[conventional_karyotype]=2 or [conventional_karyotype]=4,,,,,
cnv_analysis,clinical,,dropdown,Copy number analysis,"1, Normal|2, Abnormal, please specify|998, Unknown|4, Finding of unknown significance, please specify |5, Not done",,,,,,,,,,,
cnv_analysis_comment,clinical,,notes,Copy number analysis comments,,,,,,,[cnv_analysis]=2 or [cnv_analysis]=4,,,,,
genetic_testing,clinical,,dropdown,Genetic testing,"1, Normal|2, Abnormal, please specify|998, Unknown |4, Finding of unknown significance, please specify| 5, Not done",,,,,,,,,,,
genetic_testing_comment,clinical,,notes,Genetic testing comments,,,,,,,[genetic_testing]=2 or [genetic_testing]=4,,,,,
metabolic_testing,clinical,,dropdown,Metabolic testing,"1, Normal|2, Abnormal, please specify|998, Unknown|4, Finding of unknown significance, please specify |5, Not done",,,,,,,,,,,
metabolic_testing_comment,clinical,,notes,Metabolic testing comments,,,,,,,[metabolic_testing]=2 or [metabolic_testing]=4,,,,,
febrile_seizures,clinical,Seizure Types,radio,Febrile seizures<div class='note'> Seizure of any type (or unknown type) provoked <br>by a documented fever of >38°C/100.4°F</div>,"1, Yes | 2, No | 998, Unknown",,,,,,,,,,seizuretypes,
spasms_seizures,clinical,,radio,"Infantile/epileptic spasms<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/syndrome/epileptic-spasms-overview.html "" target=""_blank"">ILAE Definition</a>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,seizuretypes,
tonic_seizures,clinical,,radio,"Tonic<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/tonic-overview.html"" target=""_new"">ILAE definition</a></div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,seizuretypes,
atonic_seizures,clinical,,radio,"Atonic<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/atonic-overview.html"" target=""_new"">ILAE definition</a></div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,seizuretypes,
myoclonic_seizures,clinical,,radio,"Myoclonic<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/myoclonic-overview.html"" target=""_new"">ILAE definition</a></div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,seizuretypes,
absence_seizures,clinical,,radio,"Absence<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/absence-typical-overview.html"" target=""_new"">ILAE definition</a></div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,seizuretypes,
atypical_absence_seizures,clinical,,radio,"Atypical Absence<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/absence-atypical-overview.html"" target=""_new"">ILAE definition</a></div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,seizuretypes,
generalized_seizures,clinical,,radio,"Generalized Tonic-Clonic<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/convulsive-overview.html"" target=""_new"">ILAE definition</a></div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,seizuretypes,
hemiclonic_seizures,clinical,,radio,"Hemiclonic<div class='note'>See <a style=""text-decoration:underline;font-size:7pt;"" href=""https://www.epilepsydiagnosis.org/seizure/motor-overview.html"" target=""_new"">ILAE definition</a>, elementary motor section</div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,seizuretypes,
bilateral_clonic_seizures,clinical,,radio,Bilateral clonic<div class='note'>Bilateral rhythmic jerking seizure without a tonic component.</div>,"1, Yes | 2, No | 998, Unknown",,,,,,,,,,seizuretypes,
focal_seizures,clinical,,radio,Focal seizures of any type<div class='note'>Seizure type to be selected for focal seizures of any type.</div>,"1, Yes | 2, No | 998, Unknown",,,,,,,,,,seizuretypes,
unclassified_seizures,clinical,,radio,Unclassified,"1, Yes | 2, No | 998, Unknown",,,,,,,,,,seizuretypes,
se_con_seizures,clinical,,radio,Status Epilepticus: convulsive<div class='note'>Convulsive seizure of sustained duration >5 minutes</div>,"1, Yes | 2, No | 998, Unknown",,,,,,,,,,seizuretypes,
se_non_seizures,clinical,,radio,Status Epilepticus: Non-convulsive<div class='note'>Non-convulsive seizure (generalised or focal) of sustained duration >5 minutes</div>,"1, Yes | 2, No | 998, Unknown",,,,,,,,,,seizuretypes,
other_seizures,clinical,,radio,"Other seizure types, please specify","1, Yes | 2, No | 998, Unknown",,,,,,,,,,seizuretypes,
other_seizures_specify,clinical,,notes,Other seizure types comments,,,,,,,[other_seizures]=1,,,,,
febclassic_seizures,clinical,Febrile seizures,dropdown,Classical febrile seizures,"1, Yes | 2, No | 998, Unknown",Self-limited convulsive seizures with a documented fever of >38°C/100.4°F occurring between the age of 6 months and 6 years with no known history of afebrile seizures,,,,,[febrile_seizures]=1,,,,,
febclassic_age_onset,clinical,,text,Age in months at first occurrence (classic febrile),,if available,number,0,100,,[febclassic_seizures]=1,,,,,
febclassic_age_last,clinical,,text,Age in years at last occurrence (classic febrile),,if available,number,0,100,,[febclassic_seizures]=1,,,,,
febprov_seizures,clinical,,dropdown,Other seizures provoked by fever,"1, Yes | 2, No | 998, Unknown","Any seizure provoked by fever that does not meet the criteria for a ""Classical febrile seizure""",,,,,[febrile_seizures]=1,,,,,
febprov_age_onset,clinical,,text,Age in months at first occurrence of fever provoked seizures,,if available,number,0,100,,[febprov_seizures]=1,,,,,
febprov_age_last,clinical,,text,Age in years at last occurrence of fever provoked seizures,,if available,number,0,100,,[febprov_seizures]=1,,,,,
absence_age_onset,clinical,Age in months at first occurrence,text,Age in months at first occurrence (Absence),,,number,0,100,,[absence_seizures]=1,,,,,
atonic_age_onset,clinical,,text,Age in months at first occurrence (Atonic),,,number,0,100,,[atonic_seizures]=1,,,,,
atypical_absence_age_onset,clinical,,text,Age in months at first occurrence (Atypical Absence),,,number,0,100,,[atypical_absence_seizures]=1,,,,,
bilateral_clonic_age_onset,clinical,,text,Age in months at first occurrence (Bilateral clonic),,,number,0,100,,[bilateral_clonic_seizures]=1,,,,,
focal_age_onset,clinical,,text,Age in months at first occurrence (Focal),,,number,0,100,,[focal_seizures]=1,,,,,
generalized_age_onset,clinical,,text,Age in months at first occurrence (Generalized tonic-clonic),,,number,0,100,,[generalized_seizures]=1,,,,,
hemiclonic_age_onset,clinical,,text,Age in months at first occurrence (Hemiclonic),,,number,0,100,,[hemiclonic_seizures]=1,,,,,
spasms_age_onset,clinical,,text,Age in months at first occurrence (Infantile/epileptic spasms),,,number,0,100,,[spasms_seizures]=1,,,,,
myoclonic_age_onset,clinical,,text,Age in months at first occurrence (Myoclonic),,,number,0,100,,[myoclonic_seizures]=1,,,,,
other_age_onset,clinical,,text,Age in months at first occurrence (Other),,,number,0,100,,[other_seizures]=1,,,,,
se_con_age_onset,clinical,,text,Age in months at first occurrence (Status Epilepticus: convulsive),,,number,0,100,,[se_con_seizures]=1,,,,,
se_non_age_onset,clinical,,text,Age in months at first occurrence (Status Epilepticus: Non-convulsive),,,number,0,100,,[se_non_seizures]=1,,,,,
tonic_age_onset,clinical,,text,Age in months at first occurrence (Tonic),,,number,0,100,,[tonic_seizures]=1,,,,,
unclassified_age_onset,clinical,,text,Age in months at first occurrence (Unclassified),,,number,0,100,,[unclassified_seizures]=1,,,,,
age_first_seizure_comp,clinical,,calc,Age (years) at first seizure,"min([febprov_age_onset],[absence_age_onset],[atonic_age_onset],[atypical_absence_age_onset],[bilateral_clonic_age_onset],[focal_age_onset],[generalized_age_onset],[hemiclonic_age_onset],[spasms_age_onset],[myoclonic_age_onset],[other_age_onset],[se_con_age_onset],[se_non_age_onset],[tonic_age_onset],[unclassified_age_onset],[age_first_seizure] )",Minumum of all seizure onsets (computed),,,,,,,,,,
age_first_seizure,clinical,,text,Age (years) of onset correction,,Overrides the age of onset in case type of seizure at onset is not known,number,0,100,,,,,,,
absence_age_last,clinical,Age in <span style=”color:red”>years</span>  at last occurrence,text,Age in years at last occurrence (Absence),,,number,0,100,,[absence_seizures]=1,,,,,
atonic_age_last,clinical,,text,Age in years at last occurrence (Atonic),,,number,0,100,,[atonic_seizures]=1,,,,,
atypical_absence_age_last,clinical,,text,Age in years at last occurrence (Atypical Absence),,,number,0,100,,[atypical_absence_seizures]=1,,,,,
bilateral_clonic_age_last,clinical,,text,Age in years at last occurrence (Bilateral clonic),,,number,0,100,,[bilateral_clonic_seizures]=1,,,,,
focal_age_last,clinical,,text,Age in years at last occurrence (Focal),,,number,0,100,,[focal_seizures]=1,,,,,
generalized_age_last,clinical,,text,Age in years at last occurrence (Generalized tonic-clonic),,,number,0,100,,[generalized_seizures]=1,,,,,
hemiclonic_age_last,clinical,,text,Age in years at last occurrence (Hemiclonic),,,number,0,100,,[hemiclonic_seizures]=1,,,,,
spasms_age_last,clinical,,text,Age in years at last occurrence (Infantile/epileptic spasms),,,number,0,100,,[spasms_seizures]=1,,,,,
myoclonic_age_last,clinical,,text,Age in years at last occurrence (Myoclonic),,,number,0,100,,[myoclonic_seizures]=1,,,,,
other_age_last,clinical,,text,Age in years at last occurrence (Other),,,number,0,100,,[other_seizures]=1,,,,,
se_con_age_last,clinical,,text,Age in years at last occurrence (Status Epilepticus: convulsive),,,number,0,100,,[se_con_seizures]=1,,,,,
se_non_age_last,clinical,,text,Age in years at last occurrence (Status Epilepticus: Non-convulsive),,,number,0,100,,[se_non_seizures]=1,,,,,
tonic_age_last,clinical,,text,Age in years at last occurrence (Tonic),,,number,0,100,,[tonic_seizures]=1,,,,,
unclassified_age_last,clinical,,text,Age in years at last occurrence (Unclassified),,,number,0,100,,[unclassified_seizures]=1,,,,,
neurological_examination,clinical,Neurological examination,dropdown,Neurological examination,"1, Normal |2, Abnormal please specify |3, Not done | 998, Unknown",,,,,,,,,,,
neurological_specify,clinical,,text,Neurological examination comments,,,,,,,[neurological_examination]=2,,,,,
eeg_findings_1,clinical,Investigations,dropdown,EEG finding 1,"1,Normal |2,Epileptiform |4,Focal slowing |5,Generalized slowing |9,Photo-paroxysmal response|995, Other |998, Unknown |8,Not done",,,,,,,y,,,,
eeg_findings_1_type,clinical,,dropdown,Type of epileptiform,"2, Burst Suppression|3, Classic hypsarrhythmia|4, Hypsarrhythmia variant|5, Generalized spike-wave, specify frequency|6, Generalized paroxysmal fast activity (GPFA)|12, Continuous Spike Wave in Slow-Wave Sleep|7, Slow or disorganised for age|8, Focal or multi-focal sharp waves, specify location|9, Normal|996, Other, please specify|998, Unknown",,,,,,[eeg_findings_1]=2,,,,,
eeg_findings_1_epicom,clinical,,notes,Other epileptiform comments,,,,,,,[eeg_findings_1_type] = 996,,,,,
eeg_findings_1_gsw,clinical,,dropdown,GSW frequency,"1, ___ 3Hz | 2, < 3Hz | 998, Unknown",,,,,,[eeg_findings_1_type]=5,,,,,
eeg_findings_1_focal,clinical,,checkbox,Location of focal epileptiform,"1, NA|2, Temporal|3, Frontal|4, Occipital|5, Parietal|6, Multi-focal|997, Unspecified|998, Unknown","If localization is near the anatomical boundary of two lobes or could reflect one of two sites (e.g. F7, 'fronto-temporal') then both lobes should be selected. If there are two or more independent foci, then select 'multifocal' and the relevant lobes.",,,,,[eeg_findings_1_type]=8,,,,,
type_of_ppr_1,clinical,,dropdown,Type of photoparoxysmal response,"1, Generalized | 2, Occipital | 3, Other focal | 4, Non-epileptiform | 998, Unknown",,,,,,[eeg_findings_1] = '9',,,,,
eeg_findings_2,clinical,,dropdown,EEG finding 2,"0, None |2,Epileptiform |4, Focal slowing |5, Generalized slowing |9,Photo-paroxysmal response|6,Other",,,,,,[eeg_findings_1] = '2' or [eeg_findings_1] = '3' or [eeg_findings_1] = '4' or [eeg_findings_1] = '5' or [eeg_findings_1] = '6',,,,,
eeg_findings_2_type,clinical,,dropdown,Type of epileptiform,"2, Burst Suppression|3, Classic hypsarrhythmia|4, Hypsarrhythmia variant|5, Generalized spike-wave, specify frequency|6, Generalized paroxysmal fast activity (GPFA)|12, Continuous Spike Wave in Slow-Wave Sleep|7, Slow or disorganised for age|8, Focal or multi-focal sharp waves, specify location|9, Normal|996, Other, please specify|998, Unknown",,,,,,[eeg_findings_2]=2,,,,,
eeg_findings_2_epicom,clinical,,notes,Other epileptiform comments,,,,,,,[eeg_findings_2_type] = 996,,,,,
eeg_findings_2_gsw,clinical,,dropdown,GSW frequency,"1, ___3Hz | 2, < 3Hz | 998, Unknown",,,,,,[eeg_findings_2_type]=5,,,,,
eeg_findings_2_focal,clinical,,checkbox,Location of focal epileptiform,"1, NA|2, Temporal|3, Frontal|4, Occipital|5, Parietal|6, Multi-focal|997, Unspecified|998, Unknown","If localization is near the anatomical boundary of two lobes or could reflect one of two sites (e.g. F7, 'fronto-temporal') then both lobes should be selected. If there are two or more independent foci, then select 'multifocal' and the relevant lobes.",,,,,[eeg_findings_2_type]=8,,,,,
type_of_ppr_2,clinical,,dropdown,Type of photoparoxysmal response,"1, Generalized | 2, Occipital | 3, Other focal | 4, Non-epileptiform | 998, Unknown",,,,,,[eeg_findings_2] = '9',,,,,
eeg_findings_3,clinical,,dropdown,EEG finding 3,"0, None |2, Epileptiform |  4, Focal slowing | 5, Generalized slowing | 9, Photo-paroxysmal response |995, Other",,,,,,[eeg_findings_2] = '2' or [eeg_findings_2] = '3' or [eeg_findings_2] = '4' or [eeg_findings_2] = '5' or [eeg_findings_2] = '6',,,,,
eeg_findings_3_type,clinical,,dropdown,Type of epileptiform,"2, Burst Suppression|3, Classic hypsarrhythmia|4, Hypsarrhythmia variant|5, Generalized spike-wave, specify frequency|6, Generalized paroxysmal fast activity (GPFA)|12, Continuous Spike Wave in Slow-Wave Sleep|7, Slow or disorganised for age|8, Focal or multi-focal sharp waves, specify location|9, Normal |996, Other, please specify|998, Unknown",,,,,,[eeg_findings_3]=2,,,,,
eeg_findings_3_epicom,clinical,,notes,Other epileptiform comments,,,,,,,[eeg_findings_3_type] = 996,,,,,
eeg_findings_3_gsw,clinical,,dropdown,GSW frequency,"1, ___ 3Hz | 2, < 3Hz | 998, Unknown",,,,,,[eeg_findings_3_type]=5,,,,,
eeg_findings_3_focal,clinical,,checkbox,Location of focal epileptiform,"1, NA|2, Temporal|3, Frontal|4, Occipital|5, Parietal|6, Multi-focal|997, Unspecified|998, Unknown","If localization is near the anatomical boundary of two lobes or could reflect one of two sites (e.g. F7, 'fronto-temporal') then both lobes should be selected. If there are two or more independent foci, then select 'multifocal' and the relevant lobes.",,,,,[eeg_findings_3_type]=8,,,,,
type_of_ppr_3,clinical,,dropdown,Type of photoparoxysmal response,"1, Generalized | 2, Occipital | 3, Other focal | 4, Non-epileptiform | 998, Unknown",,,,,,[eeg_findings_3] = '9',,,,,
neuroimaging_performed,clinical,Neuroimaging,radio,Neuroimaging performed,"1, CT | 2, MRI | 997, Not done | 3, CT and MRI | 998, Unknown",,,,,,,y,,,,
neuroimaging_findings_1,clinical,,dropdown,Neuroimaging findings,"1, Normal|2, Malformations: Focal Cortical Dysplasia|3, Malformations: Heterotopia|4, Malformations: Peri-ventricular nodular heterotopia|5, Malformations: Polymicrogyria|6, Malformations: Pachygyria|7, Malformations: Hemimegalencephaly|8, Malformations: Schizencephaly|9, Malformations: Lissencephaly|10, Malformations: Double Cortex|11, Malformations: Holoprosencephaly|12, Malformations: Corpus callosum agenesis/dysplasia|13, Malformations: Septo-optic dysplasia|14, Malformations: other|15, Vascular and/or ischemic abnormalities: hypoxic ischemic injury|16, Vascular and/or ischemic abnormalities: Periventricular leukomalacia|17, Vascular and/or ischemic abnormalities: hemorrhage|18, Other: Hippocampal Sclerosis|19, Other: Porencephaly|20, Other: Hydrocephalus|21, Other: Atrophy|22, Other, please specify |
23 , Non-specific abnormality, please specify | 998, Unknown",,,,,,[neuroimaging_performed]<997,,,,,
neuroimaging_findings_2,clinical,,dropdown,Additional Neuroimaging abnormality 1,"0, None |2, Malformations: Focal Cortical Dysplasia|3, Malformations: Heterotopia|4, Malformations: Peri-ventricular nodular heterotopia|5, Malformations: Polymicrogyria|6, Malformations: Pachygyria|7, Malformations: Hemimegalencephaly|8, Malformations: Schizencephaly|9, Malformations: Lissencephaly|10, Malformations: Double Cortex|11, Malformations: Holoprosencephaly|12, Malformations: Corpus callosum agenesis/dysplasia|13, Malformations: Septo-optic dysplasia|14, Malformations: other|15, Vascular and/or ischemic abnormalities: hypoxic ischemic injury|16, Vascular and/or ischemic abnormalities: Periventricular leukomalacia|17, Vascular and/or ischemic abnormalities: hemorrhage|18, Other: Hippocampal Sclerosis|19, Other: porencephaly|20, Other: hydrocephalus|21, Other: atrophy|22, Other, please specify |
23 , Non-specific abnormality, please specify |998, Unknown",,,,,,[neuroimaging_findings_1]>1,,,,,
neuroimaging_findings_3,clinical,,dropdown,Additional Neuroimaging abnormality 2,"0, None |2, Malformations: Focal Cortical Dysplasia|3, Malformations: Heterotopia|4, Malformations: Peri-ventricular nodular heterotopia|5, Malformations: Polymicrogyria|6, Malformations: Pachygyria|7, Malformations: Hemimegalencephaly|8, Malformations: Schizencephaly|9, Malformations: Lissencephaly|10, Malformations: Double Cortex|11, Malformations: Holoprosencephaly|12, Malformations: Corpus callosum agenesis/dysplasia|13, Malformations: Septo-optic dysplasia|14, Malformations: other|15, Vascular and/or ischemic abnormalities: hypoxic ischemic injury|16, Vascular and/or ischemic abnormalities: Periventricular leukomalacia|17, Vascular and/or ischemic abnormalities: hemorrhage|18, Other: Hippocampal Sclerosis|19, Other: porencephaly|20, Other: hydrocephalus|21, Other: atrophy|22, Other, please specify |
23 , Non-specific abnormality, please specify |998, Unknown",,,,,,[neuroimaging_findings_2]>1,,,,,
neuroimaging_specify,clinical,,notes,Neuroimaging findings comments,,,,,,,[neuroimaging_performed]<997,,,,,
developmental_delay,clinical,Comorbidities,radio,Developmental delay prior to seizure onset,"1, Yes | 2, No | 998, Unknown",,,,,,,,,,comorbidities,
regression,clinical,,radio,Regression/plateau,"1, Yes | 2, No | 998, Unknown",,,,,,,,,,comorbidities,
intellectual_disability,clinical,,radio,Intellectual Disability,"1, Yes | 2, No | 998, Unknown",,,,,,,,,,comorbidities,
autism,clinical,,radio,Autism spectrum disorder,"1, Yes | 2, No | 998, Unknown",,,,,,,,,,comorbidities,
psychosis,clinical,,radio,Psychosis,"1, Yes | 2, No | 998, Unknown",,,,,,,,,,comorbidities,
pharmacoresistant,clinical,,radio,"Drug resistant<div class='note'>Failure of adequate trials of two tolerated and appropriately chosen and used AED schedules (whether as monotherapies or in combination) to achieve sustained seizure freedom (see <a style=""text-decoration:underline;font-size:7pt;"" class='note' href=""http://dx.doi.org/10.1111/j.1528-1167.2009.02397.x"" target='_new'>Kwan, P. et al, Epilepsia 2010</a>)</div>","1, Yes | 2, No | 998, Unknown",,,,,,,,,,comorbidities,
developmental_delay_type,clinical,,dropdown,Type of delay,"1, Motor|2, Speech and Language|998, Unknown | 4, Global",,,,,,[developmental_delay]=1,,,,,
regression_age,clinical,,text,Age at regression in months if known,,,,0,200,,[regression]=1,,,,,
intellectual_disability_degree,clinical,,dropdown,Degree of intellectual disability,"1, mild| 2,moderate|3,severe|4 ,profound |5, cannot classify",,,,,,[intellectual_disability]=1,,,,,
fam_consanguinity,clinical,Family History,dropdown,Reported family history of consanguinity,"1, Yes | 2, No | 998, Unknown",,,,,,,,,,,
family_history,clinical,,dropdown,Family History,"1, Yes | 2, No | 998, Unknown","Family history of any seizures (including febrile) regardless of reported aetiology. Family history refers to any biological relative of the proband, including their offspring.",,,,,,,,,,
fam_first_deg,clinical,,dropdown,First degree relative affected,"1, Yes | 2, No | 998, Unknown","First-degree relative is defined as the proband's biological mother, father, brother, sister, son or daughter. The relative is regarded as 'affected' if they have any history of seizures (including febrile) regardless of reported aetiology.",,,,,[family_history]=1,,,,,
fam_notes,clinical,,notes,Details of family history of epilepsy,,"Additional information about family history, other than that captured in the 'First degree relative affected?' section.",,,,,[family_history]=1,,,,,
